Term,CourseNumber,Title,Instructor,Day,Time,Location,CourseType,EnrollLimit,Attributes
Spring 2014,APMAE-207,Monte Carlo Methods for Inference and Data Analysis,Pavlos Protopapas,N/A,N/A,N/A,Online Only,No limit,E
Spring 2014,CSCIE-8,Web GIS: Principles and Applications,Pinde Fu,Thur,7:40 - 9:40 pm,N/A,Web-Conference Course,50,E
Spring 2014,CSCIE-17,Medical Informatics,Oleg Pianykh,Thur,5:30 - 7:30 pm,1 Story Street 307,Online Option,No limit,E
Spring 2014,CSCIE-20,Discrete Mathematics for Computer Science,Harry R. Lewis & Deborah Abel,Tues,9 - 11 pm,N/A,Web-Conference Course,32,TMF|E
Spring 2014,CSCIE-28,Unix/Linux Systems Programming,Bruce Molay,Tues,7:40 - 9:40 pm,53 Church Street L01,Online Option,No limit,SP|E
Spring 2014,CSCIE-35,Essential Modern UI Windows 8.1 App Development and Cloud Computing,Joseph Ficara,Wed,7:40 - 9:40 pm,1 Story Street 303,Online Option,No limit,E
Spring 2014,CSCIE-40,Communication Protocols and Internet Architectures,Leonard Evenchik,N/A,N/A,N/A,Online Only,No limit,DCOM|E
Spring 2014,CSCIE-42,Internet Voice Video and Telepresence,Leonard Evenchik,Mon,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,DCOM|E
Spring 2014,CSCIE-45B,Working in and Running the Cyberworld,Scott Bradner & Benoit Gaucherin,Fri,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,DCOM|E
Spring 2014,CSCIE-51,Abstraction and Design in Computation,Henry H. Leitner & Jesse Tov,N/A,N/A,N/A,Online Only,No limit,TMF|E
Spring 2014,CSCIE-55,Java for Distributed Computing,Charles M. Sawyer Jr.,N/A,N/A,N/A,Online Only,No limit,DC|E
Spring 2014,CSCIE-58,Bioinformatics Algorithms,Jeff Parker,Wed,7:40 - 9:40 pm,Harvard Hall 103,On Campus Only,No limit,E
Spring 2014,CSCIE-63,Big Data Analytics,Zoran B. Djordjevic,Fri,5:30 - 7:30 pm,1 Story Street 306,Online Option,No limit,E
Spring 2014,CSCIE-66,Database and Information Management Systems,David G. Sullivan,Wed,7:40 - 9:40 pm,1 Story Street 306,Online Option,No limit,E
Spring 2014,CSCIE-92,Principles of Operating Systems,James L. Frankel,Tues,7:40 - 9:40 pm,Science Center 109,On Campus Only,No limit,SP|E
Spring 2014,CSCIE-124,Data Structures and Algorithms,Michael Mitzenmacher,N/A,N/A,N/A,Online Only,No limit,TMF|E
Spring 2014,CSCIE-152,Programming Languages,Stephen Chong,N/A,N/A,N/A,Online Only,No limit,TMF|E
Spring 2014,CSCIE-171,Visualization,Hanspeter Pfister,N/A,N/A,N/A,Online Only,No limit,E
Spring 2014,CSCIE-181,Machine Learning,Ryan Adams,N/A,N/A,N/A,Online Only,No limit,TMF|E
Spring 2014,CSCIE-186,Economics and Computation,David C. Parkes,N/A,N/A,N/A,Online Only,No limit,TMF|E
Spring 2014,DGMDE-25,Introduction to Web Content Management Systems Site Development,Jennifer A. Kramer,N/A,N/A,N/A,Online Only,No limit,WAD|E
Spring 2014,ENSCE-105,Engineering Innovation with Information Technology,Wego Wang,Tues,7:40 - 9:40 pm,Byerly Hall 013,Online Option,No limit,E
Spring 2014,ENSCE-123,Laboratory Electronics: Digital Circuit Design,Thomas C. Hayes,Thur,6 - 9 pm,Science Center 206,On Campus Only,22,E
Spring 2014,ENSCE-155,Fundamentals and Applications of Microfluidics,Anas Chalah & Fawwaz Habbal,Tues,5:30 - 7:30 pm,Maxwell-Dworkin G135,Online Option,No limit,E
Spring 2014,ISMTE-155,Geographic Communication Today,Jeff Blossom,Mon,5:30 - 7:30 pm,53 Church Street 201,On Campus Only,30,E
Spring 2014,MATHE-23B,Linear Algebra and Real Analysis II,Paul G. Bamberg,Tues|Thur,2:30 - 4 pm,Room to be announced,On Campus Only,No limit,E
Spring 2014,MATHE-155R,Combinatorics,Sukhada Fadnavis,Tues|Thur,11:30 am - 1 pm,Room to be announced,On Campus Only,No limit,E
Spring 2014,MATHE-156,Mathematical Foundations of Statistical Software,Paul G. Bamberg,Wed,7:40 - 9:40 pm,Science Center 112,On Campus Only,No limit,E
Spring 2014,MATHE-210,Vector Space Methods for Differential Equations,Paul G. Bamberg,Tues|Thur,11:30 am - 1 pm,Room to be announced,On Campus Only,No limit,E
Fall 2013,CSCIE-15,Dynamic Web Applications,Susan Buck,Wed,5:30 - 7:30 pm,Maxwell-Dworkin G115,Online Option,No limit,WAD|E
Fall 2013,CSCIE-18,Web Development Using XML,David P. Heitmeyer,Mon,7:40 - 9:40 pm,1 Story Street 304,Online Option,No limit,WAD|E
Fall 2013,CSCIE-26,Introduction to C Unix/Linux Programming and Web Interfaces,Bruce Molay,Wed,7:40 - 9:40 pm,Science Center B-10,On Campus Only,No limit,E
Fall 2013,CSCIE-33,Programming Microsoft .NET,David S. Platt,Mon,7:40 - 9:40 pm,1 Story Street 307,Online Option,No limit,E
Fall 2013,CSCIE-40,Communication Protocols and Internet Architectures,Leonard Evenchik,Mon,5:30 - 7:30 pm,53 Church Street L01,Online Option,No limit,DCOM|E
Fall 2013,CSCIE-45A,Understanding and Securing the Cyber Infrastructure,Scott Bradner & Benoit Gaucherin,Fri,5:30 - 7:30 pm,Maxwell-Dworkin G125,Online Option,No limit,DCOM|E
Fall 2013,CSCIE-55,Java for Distributed Computing,Charles M. Sawyer Jr.,Wed,7:40 - 9:40 pm,Byerly Hall 013,Online Option,No limit,DC|E
Fall 2013,CSCIE-56,Web Application Development with Groovy and Grails,Burt Beckwith,Fri,5:30 - 7:30 pm,53 Church Street L01,Online Option,No limit,WAD|E
Fall 2013,CSCIE-60,Developing Web-Based Database Applications,Maria R. Garcia,Mon,5:30 - 7:30 pm,1 Story Street 303,Online Option,No limit,WAD|E
Fall 2013,CSCIE-61,Systems Programming and Machine Organization,Eddie Kohler,N/A,N/A,N/A,Online Only,No limit,SP|E
Fall 2013,CSCIE-62,Modern Mobile Development,Edwin Guarin & Robert Familiar,Tues,5:30 - 7:30 pm,53 Church Street 203,On Campus Only,30,WAD|E
Fall 2013,CSCIE-65,Building Mobile Apps: A Comparative View of Mobile Application Development,Jonathan Levin,Fri,5:30 - 7:30 pm,Maxwell-Dworkin G115,Online Option,120,WAD|E
Fall 2013,CSCIE-72,Introduction to Computer Graphics,Jeff Parker,Tues,5:30 - 7:30 pm,1 Story Street 303,Online Option,No limit,E
Fall 2013,CSCIE-80,Artificial Intelligence,Eric Breck,Thur,5:30 - 7:30 pm,Northwest Science Building B108,On Campus Only,No limit,E
Fall 2013,CSCIE-90,Cloud Computing,Zoran B. Djordjevic,Fri,5:30 - 7:30 pm,1 Story Street 306,Online Option,No limit,DC|E
Fall 2013,CSCIE-95,Compiler Design and Implementation,James L. Frankel,Tues,7:40 - 9:40 pm,Science Center 109,On Campus Only,No limit,TMF|E
Fall 2013,CSCIE-97,Software Design: Principles Models and Patterns,Eric Gieseke,Thur,7:40 - 9:40 pm,1 Story Street 304,Online Option,No limit,SD|E
Fall 2013,CSCIE-109,Data Science,Hanspeter Pfister & Joseph K. Blitzstein,N/A,N/A,N/A,Online Only,60,TMF|E
Fall 2013,CSCIE-121,Introduction to the Theory of Computation,Harry R. Lewis,N/A,N/A,N/A,Online Only,No limit,TMF|E
Fall 2013,CSCIE-127,Introduction to Cryptography,Salil P. Vadhan,N/A,N/A,N/A,Online Only,No limit,TMF|E
Fall 2013,CSCIE-205,Computing Foundations for Computational Science,Cristopher Cecka,N/A,N/A,N/A,Online Only,No limit,E
Fall 2013,ENSCE-130,Introduction to MEMS with BioMEMS,Fawwaz Habbal,Tues,5:30 - 7:30 pm,Pierce Hall 301,Online Option,No limit,E
Fall 2013,ENSCE-150,Introduction to Nanobiotechnology: Concepts and Applications,Anas Chalah,Tues,5:30 - 7:30 pm,Pierce Hall 209,Online Option,No limit,E
Fall 2013,MATHE-23A,Linear Algebra and Real Analysis I,Paul G. Bamberg,Tues|Thur,2:30 - 4 pm,Science Center Hall A,On Campus Only,No limit,E
Fall 2013,MATHE-154,Probability Theory,Clifford Taubes,Mon|Wed|Fri,12 - 1 pm,Science Center 507,On Campus Only,No limit,E
Summer 2013,APMAS-111,Introduction to Scientific Computing,Marie Dahleh,Mon|Wed,8:30 am - 11:30 am,Science Center B-09,On Campus Only,No limit,TMF|E
Summer 2013,CSCIS-76,Building Mobile Applications,David J. Malan,Mon|Wed,6:30 - 9:30 pm,Northwest Science Building B101,On Campus Only,30,WAD|E
Summer 2013,CSCIS-131B,Communication Protocols and Internet Architectures,Leonard Evenchik,N/A,N/A,N/A,Online Only,No limit,DCOM|E
Summer 2013,ENSCS-157,Introduction to Fabrication of Microfluidic Devices,Turgut Fettah Kosar,Tues|Thur,6:30 - 9:30 pm,LISE 303,On Campus Only,15,E
Summer 2013,ISMTS-170,Human Factors in Information Systems Design,Dennis F. Galletta,Tues|Thur,6:30 - 9:30 pm,Northwest Science Building B108,On Campus Only,50,E
Summer 2013,MATHS-19A,Modeling and Differential Equations for the Life Sciences,John Thomas Hall,Mon|Wed|Fri,12:30 - 2:30 pm,Science Center 411,On Campus Only,No limit,TMF|E
Summer 2013,PHILS-140,Deductive Logic,James Pearson,Mon|Wed,8:30 am - 11:30 am,Lamont Library 240,On Campus Only,No limit,E
Summer 2013,PHYSS-123,Laboratory Electronics: Analog and Digital Circuit Design,David Eric Abrams,Mon|Wed|Thur,9 am - 1 pm,Science Center 206,On Campus Only,20,E
